lsoa_code,borough,major_category,minor_category,value,year,month
E01003230,Lewisham,Violence Against the Person,Harassment,2,2015,3
E01001292,Ealing,Violence Against the Person,Other violence,0,2012,8
E01000611,Brent,Violence Against the Person,Harassment,0,2013,1
E01002640,Hounslow,Violence Against the Person,Other violence,0,2014,2
E01002649,Hounslow,Theft and Handling,Other Theft Person,0,2010,12
E01032575,Haringey,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2011,10
E01003621,Newham,Theft and Handling,Other Theft,1,2013,6
E01002323,Havering,Robbery,Personal Property,0,2011,4
E01004670,Westminster,Criminal Damage,Criminal Damage To Motor Vehicle,0,2013,10
E01033583,Newham,Theft and Handling,Theft/Taking of Pedal Cycle,0,2009,10
E01003589,Newham,Violence Against the Person,Common Assault,0,2011,9
E01002576,Hounslow,Violence Against the Person,Other violence,0,2015,11
E01002331,Havering,Theft and Handling,Other Theft,0,2008,9
E01033587,Barking and Dagenham,Criminal Damage,Criminal Damage To Other Building,4,2015,6
E01003525,Newham,Criminal Damage,Criminal Damage To Motor Vehicle,2,2009,2
E01003897,Richmond upon Thames,Theft and Handling,Theft/Taking of Pedal Cycle,1,2014,5
E01032582,Lambeth,Theft and Handling,Other Theft Person,10,2015,4
E01000458,Bexley,Violence Against the Person,Harassment,0,2008,8
E01001876,Hammersmith and Fulham,Other Notifiable Offences,Other Notifiable,2,2012,11
E01001926,Hammersmith and Fulham,Theft and Handling,Theft/Taking of Pedal Cycle,1,2008,8
E01000179,Barnet,Violence Against the Person,Other violence,0,2009,1
E01001208,Ealing,Theft and Handling,Other Theft Person,0,2015,8
E01001085,Croydon,Violence Against the Person,Other violence,0,2014,12
E01003081,Lambeth,Violence Against the Person,Harassment,2,2016,8
E01002062,Haringey,Criminal Damage,Criminal Damage To Motor Vehicle,0,2009,6
E01003796,Redbridge,Burglary,Burglary in Other Buildings,2,2012,5
E01001499,Enfield,Violence Against the Person,Other violence,0,2016,9
E01001846,Hackney,Violence Against the Person,Harassment,0,2015,3
E01001428,Enfield,Violence Against the Person,Common Assault,1,2008,1
E01002142,Harrow,Burglary,Burglary in a Dwelling,1,2010,5
E01001586,Greenwich,Criminal Damage,Criminal Damage To Other Building,0,2015,1
E01004542,Wandsworth,Theft and Handling,Other Theft Person,0,2013,8
E01002707,Islington,Violence Against the Person,Common Assault,0,2010,11
E01003856,Richmond upon Thames,Theft and Handling,Motor Vehicle Interference & Tampering,0,2012,7
E01004238,Tower Hamlets,Violence Against the Person,Harassment,2,2015,11
E01002034,Haringey,Violence Against the Person,Assault with Injury,2,2008,10
E01000535,Brent,Theft and Handling,Other Theft Person,0,2009,10
E01004516,Wandsworth,Violence Against the Person,Wounding/GBH,0,2009,4
E01004069,Southwark,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2012,8
E01003098,Lambeth,Drugs,Possession Of Drugs,1,2013,9
E01001746,Hackney,Theft and Handling,Other Theft Person,1,2009,5
E01003743,Redbridge,Other Notifiable Offences,Going Equipped,0,2015,9
E01000815,Bromley,Criminal Damage,Other Criminal Damage,0,2011,10
E01002391,Havering,Violence Against the Person,Offensive Weapon,0,2016,11
E01001040,Croydon,Theft and Handling,Other Theft Person,0,2016,2
E01002038,Haringey,Burglary,Burglary in Other Buildings,1,2013,4
E01000889,Camden,Drugs,Other Drugs,0,2011,4
E01003165,Lambeth,Theft and Handling,Theft From Shops,0,2014,10
E01000191,Barnet,Criminal Damage,Criminal Damage To Other Building,0,2008,4
E01003146,Lambeth,Robbery,Business Property,0,2009,3
E01003465,Merton,Violence Against the Person,Harassment,0,2015,5
E01004177,Sutton,Criminal Damage,Criminal Damage To Dwelling,1,2012,10
E01003776,Redbridge,Violence Against the Person,Common Assault,0,2008,4
E01002862,Kensington and Chelsea,Theft and Handling,Other Theft,1,2009,1
E01002668,Hounslow,Violence Against the Person,Assault with Injury,2,2010,6
E01001605,Greenwich,Violence Against the Person,Offensive Weapon,0,2016,3
E01002753,Islington,Violence Against the Person,Offensive Weapon,0,2013,3
E01004389,Waltham Forest,Theft and Handling,Handling Stolen Goods,0,2014,10
E01003980,Southwark,Theft and Handling,Other Theft,0,2014,2
E01003812,Richmond upon Thames,Violence Against the Person,Harassment,0,2010,4
E01004137,Sutton,Theft and Handling,Theft/Taking of Pedal Cycle,0,2012,1
E01000585,Brent,Criminal Damage,Criminal Damage To Motor Vehicle,1,2014,5
E01004371,Waltham Forest,Drugs,Drug Trafficking,0,2012,5
E01002713,Islington,Criminal Damage,Criminal Damage To Dwelling,0,2008,4
E01001117,Croydon,Other Notifiable Offences,Other Notifiable,1,2011,9
E01004440,Waltham Forest,Violence Against the Person,Common Assault,1,2014,4
E01000156,Barnet,Burglary,Burglary in a Dwelling,1,2015,8
E01000670,Bromley,Fraud or Forgery,Other Fraud & Forgery,0,2009,12
E01004608,Wandsworth,Other Notifiable Offences,Going Equipped,0,2016,2
E01001250,Ealing,Criminal Damage,Other Criminal Damage,1,2014,5
E01033586,Newham,Theft and Handling,Other Theft,0,2008,7
E01000273,Barnet,Theft and Handling,Other Theft Person,0,2013,2
E01033739,Greenwich,Criminal Damage,Criminal Damage To Dwelling,0,2016,10
E01002451,Hillingdon,Theft and Handling,Other Theft Person,0,2010,2
E01001124,Croydon,Other Notifiable Offences,Other Notifiable,0,2016,2
E01000898,Camden,Theft and Handling,Theft/Taking of Pedal Cycle,0,2008,7
E01002412,Hillingdon,Theft and Handling,Theft From Motor Vehicle,3,2011,12
E01002418,Hillingdon,Criminal Damage,Other Criminal Damage,0,2008,1
E01002550,Hillingdon,Robbery,Business Property,0,2011,2
E01004615,Wandsworth,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,2
E01004330,Waltham Forest,Theft and Handling,Theft/Taking of Pedal Cycle,0,2009,6
E01004012,Southwark,Other Notifiable Offences,Other Notifiable,0,2014,6
E01000015,Barking and Dagenham,Violence Against the Person,Common Assault,2,2009,5
E01002349,Havering,Drugs,Possession Of Drugs,0,2012,5
E01002120,Harrow,Drugs,Possession Of Drugs,0,2013,2
E01000974,Camden,Theft and Handling,Theft From Shops,1,2014,5
E01000400,Bexley,Criminal Damage,Criminal Damage To Dwelling,1,2010,9
E01002589,Hounslow,Violence Against the Person,Harassment,0,2010,5
E01004569,Wandsworth,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2015,9
E01002168,Harrow,Violence Against the Person,Harassment,2,2011,12
E01003435,Merton,Violence Against the Person,Harassment,1,2015,6
E01002920,Kingston upon Thames,Robbery,Business Property,0,2009,3
E01001694,Greenwich,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2011,4
E01000109,Barking and Dagenham,Criminal Damage,Criminal Damage To Motor Vehicle,0,2013,3
E01000111,Barking and Dagenham,Criminal Damage,Other Criminal Damage,0,2010,2
E01000137,Barnet,Theft and Handling,Theft/Taking of Pedal Cycle,0,2013,10
E01002544,Hillingdon,Burglary,Burglary in a Dwelling,1,2011,12
E01004541,Wandsworth,Criminal Damage,Criminal Damage To Motor Vehicle,0,2008,12
E01001908,Hammersmith and Fulham,Violence Against the Person,Other violence,0,2009,9
E01003433,Merton,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,5
E01002784,Islington,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2015,1
E01002399,Hillingdon,Theft and Handling,Theft From Motor Vehicle,1,2011,4
E01002473,Hillingdon,Other Notifiable Offences,Other Notifiable,0,2015,6
E01004000,Southwark,Theft and Handling,Theft From Shops,0,2012,9
E01003798,Richmond upon Thames,Other Notifiable Offences,Other Notifiable,0,2011,3
E01000665,Bromley,Criminal Damage,Criminal Damage To Dwelling,0,2012,3
E01001455,Enfield,Drugs,Drug Trafficking,0,2016,12
E01002738,Islington,Violence Against the Person,Wounding/GBH,0,2008,4
E01003092,Lambeth,Criminal Damage,Criminal Damage To Dwelling,0,2013,6
E01003361,Merton,Violence Against the Person,Assault with Injury,0,2010,4
E01003170,Lambeth,Robbery,Personal Property,0,2012,4
E01003633,Newham,Fraud or Forgery,Counted per Victim,0,2009,8
E01000560,Brent,Criminal Damage,Other Criminal Damage,0,2014,9
E01000403,Bexley,Violence Against the Person,Wounding/GBH,0,2011,3
E01001237,Ealing,Violence Against the Person,Offensive Weapon,0,2008,8
E01003853,Richmond upon Thames,Burglary,Burglary in a Dwelling,0,2013,12
E01001328,Ealing,Criminal Damage,Criminal Damage To Other Building,1,2012,4
E01001330,Ealing,Criminal Damage,Criminal Damage To Other Building,0,2012,2
E01002732,Islington,Fraud or Forgery,Counted per Victim,0,2014,6
E01000914,Camden,Theft and Handling,Theft/Taking of Pedal Cycle,18,2011,6
E01003907,Richmond upon Thames,Burglary,Burglary in a Dwelling,2,2012,11
E01003894,Richmond upon Thames,Drugs,Possession Of Drugs,0,2012,12
E01000662,Bromley,Violence Against the Person,Harassment,1,2013,8
E01003708,Redbridge,Burglary,Burglary in a Dwelling,0,2009,4
E01003763,Redbridge,Burglary,Burglary in a Dwelling,0,2012,8
E01001177,Croydon,Drugs,Drug Trafficking,0,2008,11
E01004515,Wandsworth,Violence Against the Person,Harassment,0,2016,11
E01003314,Lewisham,Drugs,Possession Of Drugs,1,2012,5
E01003513,Newham,Criminal Damage,Other Criminal Damage,0,2009,7
E01000446,Bexley,Robbery,Personal Property,0,2016,1
E01001216,Ealing,Criminal Damage,Criminal Damage To Motor Vehicle,0,2012,9
E01003121,Lambeth,Theft and Handling,Theft From Motor Vehicle,0,2010,7
E01002057,Haringey,Criminal Damage,Criminal Damage To Other Building,0,2013,2
E01002650,Hounslow,Criminal Damage,Other Criminal Damage,1,2016,2
E01003389,Merton,Robbery,Business Property,0,2013,10
E01000628,Brent,Criminal Damage,Criminal Damage To Dwelling,1,2009,6
E01000220,Barnet,Other Notifiable Offences,Other Notifiable,0,2013,4
E01001276,Ealing,Fraud or Forgery,Counted per Victim,0,2008,11
E01003771,Redbridge,Other Notifiable Offences,Other Notifiable,0,2016,5
E01001330,Ealing,Burglary,Burglary in a Dwelling,1,2013,5
E01003259,Lewisham,Drugs,Possession Of Drugs,1,2012,7
E01001950,Hammersmith and Fulham,Other Notifiable Offences,Other Notifiable,0,2009,3
E01032569,Croydon,Criminal Damage,Other Criminal Damage,0,2015,4
E01003350,Lewisham,Drugs,Drug Trafficking,0,2016,7
E01001588,Greenwich,Violence Against the Person,Wounding/GBH,1,2012,5
E01003169,Lambeth,Theft and Handling,Motor Vehicle Interference & Tampering,0,2013,2
E01004736,Westminster,Violence Against the Person,Common Assault,10,2013,1
E01004108,Sutton,Theft and Handling,Theft From Motor Vehicle,0,2011,5
E01001065,Croydon,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2009,7
E01004659,Westminster,Violence Against the Person,Common Assault,1,2016,2
E01002457,Hillingdon,Violence Against the Person,Harassment,2,2012,2
E01004744,Westminster,Violence Against the Person,Wounding/GBH,0,2009,10
E01000107,Barking and Dagenham,Criminal Damage,Other Criminal Damage,0,2011,3
E01002929,Kingston upon Thames,Theft and Handling,Theft From Shops,0,2013,11
E01032574,Enfield,Theft and Handling,Other Theft,0,2010,1
E01002019,Haringey,Violence Against the Person,Wounding/GBH,0,2016,12
E01001038,Croydon,Burglary,Burglary in a Dwelling,2,2011,5
E01001023,Croydon,Violence Against the Person,Wounding/GBH,0,2016,10
E01000612,Brent,Violence Against the Person,Wounding/GBH,0,2013,9
